f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,target
12.0,15.0,20.0,1.0,7.0,16.0,9.0,0.17,8.0,2.0,7.0,0.78,56.0,5.0,0.5,52.0,1.0,7.0,0.78,99.0,17.94,31877.94,0.59,287.0,0.06,1771.0,1776.48,0.56,4.0,8.0,49.0,0.12,102.0,185.0,54.0,19.0,73.0,13.33,53.0,1
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,2.0,2.0,1.0,20.81,9.0,1685.67,0.06,42.0,0.11,93.65,187.3,0.5,1.0,2.0,9.0,0.22,15.0,27.0,10.0,12.0,9.0,0.0,8.0,0
3.0,5.0,3.0,0.0,1.0,6.0,3.0,0.27,2.0,3.0,2.0,0.67,13.0,3.0,1.0,11.0,1.0,1.0,0.33,29.72,13.6,5496.65,0.13,85.0,0.07,305.37,404.17,1.0,2.0,3.0,12.0,0.19,34.0,51.0,15.0,12.0,16.0,8.33,11.0,0
11.0,43.0,16.0,0.0,4.0,76.0,22.0,0.21,34.0,2.24,17.0,0.77,119.0,12.0,0.52,103.0,3.0,18.0,0.82,70.89,48.94,169799.06,1.16,557.0,0.02,9433.28,3469.45,0.55,21.0,38.0,99.0,0.18,208.0,349.0,51.0,24.0,119.0,3.74,103.0,0
0.0,3.0,6.0,0.0,0.0,4.0,2.0,0.13,2.0,2.0,2.0,1.0,12.0,1.0,0.0,16.0,2.0,2.0,1.0,27.13,15.06,6152.97,0.14,81.0,0.07,341.83,408.6,0.5,1.0,2.0,12.0,0.12,32.0,49.0,17.0,16.0,17.0,0.0,16.0,0
2.0,3.0,7.0,0.0,6.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,14.0,1.0,0.0,18.0,1.0,2.0,1.0,39.51,10.08,4016.74,0.13,82.0,0.1,223.15,398.35,0.5,1.0,2.0,14.0,0.07,33.0,49.0,18.0,11.0,27.0,25.0,18.0,0
0.0,5.0,6.0,0.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,18.0,1.0,0.0,22.0,1.0,2.0,0.67,35.04,12.63,5590.85,0.15,87.0,0.08,310.6,442.61,0.33,2.0,4.0,17.0,0.13,32.0,55.0,19.0,15.0,23.0,0.0,22.0,0
7.0,7.0,8.0,0.0,0.0,4.0,5.0,0.14,2.0,2.0,4.0,0.8,30.0,1.0,0.0,36.0,0.0,4.0,0.8,55.99,19.75,21840.0,0.37,198.0,0.05,1213.33,1105.82,0.2,1.0,2.0,27.0,0.11,79.0,119.0,32.0,16.0,44.0,0.0,36.0,1
2.0,3.0,6.0,1.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,11.0,1.0,0.0,10.0,1.0,2.0,1.0,25.4,13.71,4777.91,0.12,71.0,0.07,265.44,348.39,0.5,1.0,2.0,11.0,0.14,24.0,47.0,14.0,16.0,14.0,9.09,11.0,1
7.0,12.0,16.0,1.0,0.0,16.0,7.0,0.19,8.0,2.0,6.0,0.86,47.0,1.0,0.0,35.0,0.0,6.0,0.86,67.77,18.76,23842.81,0.42,217.0,0.05,1324.6,1271.18,0.14,4.0,8.0,42.0,0.16,77.0,140.0,39.0,19.0,44.0,2.78,36.0,0
0.0,7.0,5.0,0.0,0.0,10.0,4.0,0.29,4.0,2.5,2.0,0.5,19.0,3.0,0.67,14.0,1.0,2.0,0.5,31.35,9.97,3114.36,0.1,65.0,0.1,173.02,312.48,0.75,3.0,5.0,17.0,0.27,23.0,42.0,15.0,13.0,15.0,0.0,14.0,0
9.0,12.0,10.0,0.0,2.0,14.0,7.0,0.23,6.0,2.33,7.0,1.0,40.0,6.0,0.83,30.0,0.0,6.0,0.86,52.03,24.0,29970.57,0.42,216.0,0.04,1665.03,1248.77,0.86,4.0,7.0,35.0,0.17,84.0,132.0,35.0,20.0,42.0,6.25,30.0,0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,8.0,1.0,0.0,8.0,1.0,2.0,1.0,15.23,10.5,1679.07,0.05,37.0,0.1,93.28,159.91,0.5,1.0,2.0,8.0,0.2,14.0,23.0,8.0,12.0,10.0,0.0,8.0,0
19.0,27.0,27.0,0.0,1.0,52.0,14.0,0.13,26.0,2.0,10.0,0.71,149.0,1.0,0.0,106.0,0.0,10.0,0.71,125.82,44.77,252155.78,1.88,829.0,0.02,14008.65,5632.57,0.07,13.0,26.0,137.0,0.11,308.0,521.0,86.0,25.0,127.0,0.93,106.0,1
1.0,3.0,4.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,9.0,1.0,0.0,9.0,1.0,2.0,1.0,17.15,13.0,2898.63,0.07,50.0,0.08,161.04,222.97,0.5,1.0,2.0,9.0,0.18,18.0,32.0,9.0,13.0,11.0,0.0,9.0,0
0.0,3.0,10.0,0.0,0.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,26.0,1.0,0.0,19.0,0.0,2.0,1.0,48.56,17.22,14395.0,0.28,163.0,0.06,799.72,836.07,0.5,1.0,2.0,26.0,0.1,66.0,97.0,23.0,12.0,20.0,0.0,19.0,0
1.0,3.0,5.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,1.0,2.0,1.0,25.29,11.85,3548.61,0.1,63.0,0.08,197.14,299.56,0.5,1.0,2.0,12.0,0.17,22.0,41.0,13.0,14.0,12.0,10.0,9.0,0
1.0,5.0,5.0,0.0,0.0,8.0,3.0,0.33,4.0,2.0,3.0,1.0,16.0,3.0,1.0,9.0,1.0,3.0,1.0,27.86,8.67,2092.83,0.08,52.0,0.12,116.27,241.48,1.0,2.0,4.0,15.0,0.27,16.0,36.0,12.0,13.0,11.0,0.0,9.0,0
0.0,5.0,8.0,1.0,1.0,6.0,3.0,0.18,2.0,3.0,3.0,1.0,19.0,3.0,1.0,16.0,1.0,3.0,1.0,27.98,18.0,9065.86,0.17,99.0,0.06,503.66,503.66,1.0,2.0,3.0,18.0,0.16,32.0,67.0,16.0,18.0,19.0,11.11,17.0,1
2.0,9.0,12.0,0.0,4.0,8.0,6.0,0.18,4.0,2.0,6.0,1.0,34.0,3.0,0.4,33.0,1.0,4.0,0.67,64.58,19.75,25188.5,0.43,211.0,0.05,1399.36,1275.37,0.5,2.0,4.0,30.0,0.15,79.0,132.0,44.0,22.0,40.0,10.81,33.0,0
0.0,6.0,3.0,0.0,0.0,4.0,4.0,0.31,2.0,2.0,3.0,0.75,14.0,1.0,0.0,13.0,0.0,2.0,0.5,21.05,11.25,2664.41,0.08,51.0,0.09,148.02,236.84,0.25,1.0,2.0,12.0,0.29,15.0,36.0,10.0,15.0,14.0,0.0,13.0,0
6.0,18.0,17.0,0.0,1.0,28.0,10.0,0.15,14.0,2.0,9.0,0.9,68.0,1.0,0.0,67.0,0.0,7.0,0.7,65.16,27.99,51033.62,0.61,314.0,0.04,2835.2,1823.51,0.1,7.0,14.0,60.0,0.13,109.0,205.0,37.0,19.0,75.0,1.47,67.0,0
0.0,3.0,8.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,16.0,1.0,0.0,11.0,0.0,2.0,1.0,36.54,9.29,3150.52,0.11,74.0,0.11,175.03,339.29,0.5,1.0,2.0,16.0,0.17,26.0,48.0,14.0,10.0,12.0,0.0,11.0,0
12.0,11.0,13.0,0.0,0.0,8.0,7.0,0.13,4.0,2.0,5.0,0.71,42.0,4.0,0.5,54.0,2.0,4.0,0.57,88.12,18.17,29080.61,0.53,271.0,0.06,1615.59,1600.77,0.57,2.0,4.0,37.0,0.1,109.0,162.0,45.0,15.0,67.0,0.0,54.0,0
5.0,3.0,6.0,0.0,1.0,4.0,2.0,0.12,2.0,2.0,2.0,1.0,17.0,1.0,0.0,17.0,1.0,1.0,0.5,50.08,14.0,9816.39,0.23,139.0,0.07,545.36,701.17,0.5,1.0,2.0,17.0,0.08,56.0,83.0,22.0,11.0,24.0,5.56,17.0,0
5.0,11.0,11.0,0.0,5.0,20.0,6.0,0.21,10.0,2.0,6.0,1.0,38.0,1.0,0.0,28.0,1.0,4.0,0.67,44.43,18.41,15056.5,0.27,157.0,0.05,836.47,817.88,0.17,5.0,10.0,34.0,0.15,54.0,103.0,22.0,15.0,39.0,15.15,28.0,0
4.0,10.0,9.0,0.0,1.0,12.0,6.0,0.22,6.0,2.0,6.0,1.0,37.0,4.0,0.6,27.0,0.0,5.0,0.83,61.09,13.24,10710.87,0.27,152.0,0.08,595.05,808.93,0.67,3.0,6.0,33.0,0.18,55.0,97.0,27.0,13.0,33.0,3.57,27.0,0
10.0,11.0,19.0,0.0,3.0,20.0,6.0,0.17,10.0,2.0,6.0,1.0,48.0,1.0,0.0,36.0,0.0,4.0,0.67,115.58,11.75,15944.27,0.45,223.0,0.09,885.79,1357.5,0.17,5.0,10.0,44.0,0.12,83.0,140.0,53.0,15.0,50.0,7.69,36.0,0
5.0,6.0,6.0,1.0,0.0,4.0,4.0,0.18,2.0,2.0,3.0,0.75,19.0,1.0,0.0,21.0,0.0,3.0,0.75,32.17,13.68,6017.65,0.15,88.0,0.07,334.31,440.0,0.25,1.0,2.0,17.0,0.14,31.0,57.0,17.0,15.0,28.0,4.55,22.0,1
0.0,6.0,4.0,0.0,0.0,4.0,4.0,0.25,2.0,2.0,3.0,0.75,15.0,1.0,0.0,16.0,0.0,2.0,0.5,24.11,11.64,3264.45,0.09,59.0,0.09,181.36,280.54,0.25,1.0,2.0,13.0,0.24,16.0,43.0,11.0,16.0,17.0,0.0,16.0,0
0.0,5.0,3.0,0.0,0.0,8.0,3.0,0.17,4.0,2.0,2.0,0.67,13.0,3.0,1.0,18.0,1.0,2.0,0.67,24.12,18.56,8310.37,0.15,88.0,0.05,461.69,447.7,1.0,2.0,4.0,12.0,0.16,33.0,55.0,16.0,18.0,19.0,0.0,18.0,0
0.0,3.0,5.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,0.0,1.0,0.5,20.53,8.13,1355.23,0.06,40.0,0.12,75.29,166.8,0.5,1.0,2.0,12.0,0.2,13.0,27.0,8.0,10.0,10.0,0.0,9.0,0
5.0,21.0,14.0,0.0,3.0,38.0,11.0,0.27,18.0,2.11,10.0,0.91,66.0,1.0,0.0,41.0,1.0,11.0,1.0,58.14,23.94,33320.87,0.46,243.0,0.04,1851.16,1391.88,0.09,10.0,19.0,57.0,0.22,79.0,164.0,33.0,20.0,50.0,6.82,41.0,0
3.0,11.0,7.0,0.0,0.0,18.0,6.0,0.29,8.0,2.25,4.0,0.67,28.0,4.0,0.6,21.0,2.0,4.0,0.67,37.67,18.75,13244.88,0.24,131.0,0.05,735.83,706.39,0.67,5.0,9.0,24.0,0.24,50.0,81.0,24.0,18.0,25.0,0.0,21.0,0
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,0.0,2.0,1.0,28.73,7.92,1800.5,0.08,51.0,0.13,100.03,227.43,0.5,1.0,2.0,9.0,0.22,19.0,32.0,12.0,10.0,9.0,0.0,8.0,0
1.0,7.0,1.0,0.0,0.0,12.0,4.0,0.31,6.0,2.0,4.0,1.0,16.0,1.0,0.0,13.0,0.0,4.0,1.0,16.11,13.71,3029.38,0.07,52.0,0.07,168.3,220.89,0.25,3.0,6.0,14.0,0.27,16.0,36.0,7.0,12.0,15.0,0.0,13.0,0
2.0,3.0,2.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,7.0,1.0,0.0,9.0,0.0,2.0,1.0,15.96,9.75,1517.0,0.05,36.0,0.1,84.28,155.59,0.5,1.0,2.0,7.0,0.17,13.0,23.0,8.0,12.0,12.0,0.0,9.0,0
10.0,12.0,20.0,0.0,5.0,16.0,7.0,0.15,8.0,2.0,7.0,1.0,53.0,3.0,0.33,47.0,0.0,6.0,0.86,100.52,18.02,32631.05,0.6,289.0,0.06,1812.84,1811.1,0.43,4.0,8.0,48.0,0.11,110.0,179.0,58.0,19.0,63.0,9.62,47.0,0
3.0,9.0,7.0,0.0,0.0,16.0,5.0,0.33,8.0,2.0,5.0,1.0,27.0,1.0,0.0,15.0,3.0,5.0,1.0,42.6,12.5,6656.28,0.18,103.0,0.08,369.79,532.5,0.2,4.0,8.0,24.0,0.26,35.0,68.0,21.0,15.0,19.0,0.0,15.0,0
10.0,13.0,17.0,2.0,6.0,12.0,8.0,0.19,6.0,2.0,6.0,0.75,47.0,5.0,0.57,41.0,1.0,6.0,0.75,99.17,12.98,16702.0,0.43,217.0,0.08,927.89,1286.97,0.63,3.0,6.0,41.0,0.13,73.0,144.0,45.0,16.0,60.0,16.32,43.0,1
21.0,41.0,28.0,0.0,11.0,64.0,22.0,0.2,30.0,2.13,19.0,0.86,151.0,8.0,0.33,111.0,1.0,16.0,0.73,141.86,34.57,169489.04,1.63,715.0,0.03,9416.06,4903.46,0.36,17.0,32.0,131.0,0.15,265.0,450.0,92.0,24.0,144.0,9.02,111.0,1
1.0,5.0,4.0,0.0,0.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,13.0,1.0,0.0,11.0,1.0,3.0,1.0,23.27,11.38,3010.96,0.09,57.0,0.09,167.28,264.7,0.33,2.0,4.0,12.0,0.23,21.0,36.0,12.0,13.0,13.0,0.0,11.0,0
2.0,11.0,10.0,0.0,1.0,12.0,7.0,0.2,6.0,2.0,6.0,0.86,38.0,1.0,0.0,35.0,0.0,5.0,0.71,55.65,17.14,16352.99,0.32,165.0,0.06,908.5,953.92,0.14,3.0,6.0,33.0,0.18,60.0,105.0,35.0,20.0,39.0,2.78,35.0,0
2.0,3.0,4.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,13.0,1.0,0.0,9.0,3.0,1.0,0.5,42.03,6.19,1609.1,0.09,56.0,0.16,89.39,260.06,0.5,1.0,2.0,13.0,0.17,22.0,34.0,16.0,9.0,12.0,0.0,9.0,0
4.0,11.0,6.0,0.0,15.0,18.0,6.0,0.24,8.0,2.25,4.0,0.67,27.0,1.0,0.0,25.0,2.0,6.0,1.0,24.1,24.7,14702.26,0.2,117.0,0.04,816.79,595.23,0.17,5.0,9.0,23.0,0.13,39.0,78.0,15.0,19.0,45.0,37.5,25.0,0
0.0,3.0,4.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,0.0,2.0,1.0,20.33,9.78,1943.91,0.07,46.0,0.1,107.99,198.81,0.5,1.0,2.0,9.0,0.22,16.0,30.0,9.0,11.0,9.0,0.0,8.0,0
0.0,5.0,4.0,0.0,0.0,8.0,3.0,0.21,4.0,2.0,3.0,1.0,15.0,3.0,1.0,14.0,1.0,1.0,0.33,26.73,9.21,2266.4,0.08,53.0,0.11,125.91,246.12,1.0,2.0,4.0,14.0,0.2,17.0,36.0,12.0,13.0,15.0,0.0,14.0,0
3.0,3.0,5.0,0.0,5.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,11.0,1.0,0.0,7.0,0.0,2.0,1.0,20.1,11.7,2752.14,0.08,52.0,0.09,152.9,235.23,0.5,1.0,2.0,11.0,0.13,18.0,34.0,10.0,13.0,16.0,41.67,7.0,0
0.0,3.0,6.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,14.0,1.0,0.0,11.0,0.0,1.0,0.5,35.16,8.21,2372.72,0.1,63.0,0.12,131.82,288.85,0.5,1.0,2.0,14.0,0.17,23.0,40.0,14.0,10.0,12.0,0.0,11.0,0
0.0,3.0,3.0,0.0,0.0,6.0,2.0,0.5,2.0,3.0,2.0,1.0,11.0,1.0,0.0,4.0,1.0,2.0,1.0,14.83,7.0,726.48,0.03,30.0,0.14,40.36,103.78,0.5,2.0,3.0,11.0,0.4,8.0,22.0,4.0,7.0,5.0,0.0,4.0,0
10.0,22.0,17.0,0.0,3.0,30.0,12.0,0.27,12.0,2.5,10.0,0.83,69.0,7.0,0.55,45.0,1.0,8.0,0.67,69.77,26.35,48459.37,0.61,299.0,0.04,2692.19,1838.77,0.58,9.0,15.0,59.0,0.2,110.0,189.0,48.0,23.0,59.0,6.25,45.0,1
10.0,14.0,15.0,0.0,3.0,18.0,8.0,0.16,8.0,2.25,8.0,1.0,49.0,5.0,0.57,50.0,0.0,4.0,0.5,75.66,19.93,30048.37,0.5,246.0,0.05,1669.35,1507.8,0.63,5.0,9.0,43.0,0.13,93.0,153.0,49.0,21.0,64.0,5.66,50.0,0
3.0,11.0,6.0,0.0,0.0,20.0,6.0,0.24,10.0,2.0,6.0,1.0,35.0,1.0,0.0,25.0,1.0,6.0,1.0,30.2,25.0,18875.0,0.25,151.0,0.04,1048.61,755.0,0.17,5.0,10.0,31.0,0.21,50.0,101.0,16.0,16.0,29.0,0.0,25.0,0
2.0,8.0,6.0,0.0,0.0,8.0,5.0,0.2,4.0,2.0,4.0,0.8,29.0,1.0,0.0,25.0,1.0,4.0,0.8,42.86,17.68,13404.49,0.25,153.0,0.06,744.69,757.99,0.2,2.0,4.0,26.0,0.18,56.0,97.0,19.0,12.0,28.0,0.0,25.0,0
0.0,3.0,6.0,0.0,0.0,4.0,2.0,0.18,2.0,2.0,2.0,1.0,13.0,1.0,0.0,11.0,0.0,1.0,0.5,34.43,7.86,2125.46,0.09,59.0,0.13,118.08,270.51,0.5,1.0,2.0,13.0,0.17,22.0,37.0,14.0,10.0,12.0,0.0,11.0,0
0.0,5.0,4.0,0.0,0.0,8.0,3.0,0.33,4.0,2.0,3.0,1.0,16.0,1.0,0.0,9.0,1.0,1.0,0.33,32.94,6.95,1593.02,0.08,53.0,0.14,88.5,229.06,0.33,2.0,4.0,15.0,0.3,17.0,36.0,11.0,9.0,10.0,0.0,9.0,0
0.0,17.0,1.0,0.0,0.0,32.0,9.0,0.45,16.0,2.0,8.0,0.89,48.0,1.0,0.0,20.0,1.0,9.0,1.0,35.13,15.23,8150.47,0.18,120.0,0.07,452.8,535.13,0.11,8.0,16.0,41.0,0.43,44.0,76.0,13.0,9.0,21.0,0.0,20.0,0
4.0,5.0,5.0,0.0,0.0,8.0,3.0,0.2,4.0,2.0,3.0,1.0,18.0,1.0,0.0,15.0,2.0,2.0,0.67,31.14,17.14,9151.3,0.18,101.0,0.06,508.41,533.83,0.33,2.0,4.0,17.0,0.15,40.0,61.0,21.0,18.0,20.0,0.0,15.0,0
2.0,3.0,5.0,0.0,1.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,10.0,1.0,0.0,8.0,1.0,2.0,1.0,26.84,8.18,1796.86,0.07,50.0,0.12,99.83,219.62,0.5,1.0,2.0,10.0,0.17,18.0,32.0,11.0,10.0,12.0,11.11,8.0,0
7.0,7.0,22.0,0.0,0.0,4.0,5.0,0.09,2.0,2.0,5.0,1.0,52.0,1.0,0.0,57.0,0.0,5.0,1.0,139.4,16.46,37755.59,0.76,357.0,0.06,2097.53,2294.18,0.2,1.0,2.0,49.0,0.08,144.0,213.0,70.0,16.0,65.0,0.0,57.0,1
