f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,target
9.0,7.0,10.0,0.0,4.0,12.0,4.0,0.11,6.0,2.0,4.0,1.0,32.0,4.0,1.0,37.0,0.0,4.0,1.0,69.01,16.93,19777.28,0.39,207.0,0.06,1098.74,1168.28,1.0,3.0,6.0,30.0,0.08,79.0,128.0,35.0,15.0,51.0,9.76,37.0,0
24.0,45.0,36.0,1.0,8.0,58.0,25.0,0.21,24.0,2.42,23.0,0.92,150.0,8.0,0.29,117.0,0.0,23.0,0.92,142.73,32.85,154013.92,1.56,680.0,0.03,8556.33,4688.48,0.32,17.0,29.0,127.0,0.17,235.0,445.0,93.0,26.0,151.0,7.14,118.0,0
0.0,8.0,6.0,0.0,1.0,8.0,5.0,0.28,4.0,2.0,3.0,0.6,22.0,3.0,0.5,18.0,1.0,3.0,0.6,33.38,14.25,6778.53,0.16,90.0,0.07,376.58,475.69,0.6,2.0,4.0,19.0,0.25,30.0,60.0,20.0,19.0,20.0,5.26,18.0,0
5.0,8.0,8.0,0.0,2.0,8.0,5.0,0.22,4.0,2.0,5.0,1.0,28.0,1.0,0.0,23.0,0.0,5.0,1.0,55.49,8.48,3988.71,0.16,91.0,0.12,221.59,470.46,0.2,2.0,4.0,25.0,0.16,30.0,61.0,23.0,13.0,31.0,8.0,23.0,1
2.0,6.0,4.0,0.0,0.0,4.0,4.0,0.25,2.0,2.0,3.0,0.75,16.0,1.0,0.0,16.0,0.0,2.0,0.5,25.41,14.0,4980.42,0.12,74.0,0.07,276.69,355.74,0.25,1.0,2.0,14.0,0.21,28.0,46.0,14.0,14.0,19.0,0.0,16.0,1
0.0,3.0,3.0,0.0,0.0,6.0,2.0,0.5,2.0,3.0,2.0,1.0,9.0,1.0,0.0,4.0,1.0,2.0,1.0,19.99,5.33,568.57,0.04,28.0,0.19,31.59,106.61,0.5,2.0,3.0,9.0,0.4,8.0,20.0,6.0,8.0,5.0,0.0,4.0,0
1.0,3.0,5.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,0.0,2.0,1.0,25.29,11.85,3548.61,0.1,63.0,0.08,197.14,299.56,0.5,1.0,2.0,12.0,0.17,22.0,41.0,13.0,14.0,12.0,10.0,9.0,0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,9.0,1.0,0.0,8.0,1.0,1.0,0.5,18.67,7.71,1110.86,0.05,36.0,0.13,61.71,144.0,0.5,1.0,2.0,9.0,0.2,12.0,24.0,7.0,9.0,10.0,0.0,8.0,0
1.0,7.0,4.0,0.0,0.0,8.0,4.0,0.5,2.0,4.0,3.0,0.75,14.0,1.0,0.0,8.0,2.0,4.0,1.0,15.19,14.0,2976.5,0.07,47.0,0.07,165.36,212.61,0.25,3.0,4.0,12.0,0.4,18.0,29.0,9.0,14.0,10.0,0.0,8.0,0
18.0,13.0,19.0,0.0,10.0,24.0,7.0,0.12,12.0,2.0,7.0,1.0,73.0,1.0,0.0,57.0,1.0,7.0,1.0,88.41,27.8,68305.52,0.82,397.0,0.04,3794.75,2457.36,0.14,6.0,12.0,68.0,0.08,158.0,239.0,54.0,19.0,86.0,14.93,57.0,0
5.0,11.0,6.0,0.0,0.0,18.0,6.0,0.26,8.0,2.25,4.0,0.67,27.0,1.0,0.0,23.0,2.0,6.0,1.0,22.86,24.7,13948.3,0.19,111.0,0.04,774.91,564.71,0.17,5.0,9.0,23.0,0.21,39.0,72.0,15.0,19.0,29.0,0.0,23.0,0
0.0,7.0,2.0,0.0,0.0,4.0,5.0,0.22,2.0,2.0,4.0,0.8,19.0,3.0,0.5,23.0,0.0,4.0,0.8,29.4,14.39,6090.84,0.14,89.0,0.07,338.38,423.18,0.6,1.0,2.0,16.0,0.21,31.0,58.0,14.0,13.0,24.0,0.0,23.0,0
0.0,7.0,6.0,0.0,0.0,10.0,4.0,0.29,4.0,2.5,2.0,0.5,20.0,3.0,0.67,14.0,1.0,2.0,0.5,34.38,9.75,3268.21,0.11,69.0,0.1,181.57,335.2,0.75,3.0,5.0,18.0,0.27,24.0,45.0,16.0,13.0,15.0,0.0,14.0,0
0.0,3.0,7.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,16.0,1.0,0.0,12.0,0.0,2.0,1.0,31.49,14.0,6172.93,0.15,89.0,0.07,342.94,440.92,0.5,1.0,2.0,16.0,0.15,34.0,55.0,17.0,14.0,13.0,0.0,12.0,0
2.0,3.0,2.0,0.0,0.0,6.0,2.0,0.33,2.0,3.0,2.0,1.0,7.0,1.0,0.0,6.0,0.0,2.0,1.0,17.23,8.67,1294.27,0.05,34.0,0.12,71.9,149.34,0.5,2.0,3.0,7.0,0.22,13.0,21.0,9.0,12.0,9.0,0.0,6.0,0
2.0,7.0,7.0,0.0,0.0,12.0,4.0,0.18,6.0,2.0,4.0,1.0,23.0,3.0,0.67,22.0,1.0,3.0,0.75,28.83,15.47,6896.24,0.15,90.0,0.06,383.12,445.88,0.75,3.0,6.0,21.0,0.16,29.0,61.0,15.0,16.0,25.0,0.0,22.0,0
7.0,9.0,20.0,1.0,0.0,16.0,5.0,0.1,8.0,2.0,5.0,1.0,49.0,3.0,0.5,47.0,0.0,4.0,0.8,90.12,19.38,33861.93,0.58,285.0,0.05,1881.22,1746.85,0.6,4.0,8.0,46.0,0.09,112.0,173.0,52.0,18.0,56.0,2.08,48.0,1
9.0,23.0,13.0,0.0,2.0,20.0,14.0,0.18,10.0,2.0,13.0,0.93,80.0,1.0,0.0,79.0,0.0,12.0,0.86,115.54,19.78,45226.86,0.76,367.0,0.05,2512.6,2285.98,0.07,5.0,10.0,68.0,0.15,135.0,232.0,58.0,17.0,91.0,2.47,79.0,1
0.0,3.0,5.0,0.0,5.0,4.0,2.0,0.11,2.0,2.0,2.0,1.0,12.0,1.0,0.0,18.0,1.0,2.0,1.0,24.85,16.5,6765.0,0.14,82.0,0.06,375.83,410.0,0.5,1.0,2.0,12.0,0.08,33.0,49.0,16.0,16.0,24.0,21.74,18.0,0
1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,8.0,1.0,0.0,6.0,1.0,2.0,1.0,15.86,7.2,822.39,0.04,30.0,0.14,45.69,114.22,0.5,1.0,2.0,8.0,0.25,8.0,22.0,5.0,9.0,8.0,0.0,6.0,0
3.0,3.0,5.0,0.0,5.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,11.0,1.0,0.0,7.0,0.0,2.0,1.0,17.22,13.72,3243.25,0.08,53.0,0.07,180.18,236.35,0.5,1.0,2.0,11.0,0.13,19.0,34.0,9.0,13.0,16.0,41.67,7.0,0
0.0,5.0,4.0,0.0,0.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,15.0,3.0,1.0,17.0,1.0,2.0,0.67,24.56,12.25,3685.14,0.1,64.0,0.08,204.73,300.83,1.0,2.0,4.0,14.0,0.17,21.0,43.0,12.0,14.0,18.0,0.0,17.0,0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,2.0,2.0,1.0,16.32,4.67,355.35,0.03,20.0,0.21,19.74,76.15,0.5,1.0,2.0,9.0,0.4,7.0,13.0,6.0,8.0,5.0,0.0,4.0,0
4.0,5.0,11.0,0.0,0.0,8.0,3.0,0.16,4.0,2.0,3.0,1.0,30.0,1.0,0.0,19.0,2.0,3.0,1.0,58.1,12.43,8983.13,0.24,142.0,0.08,499.06,722.42,0.33,2.0,4.0,29.0,0.13,52.0,90.0,23.0,11.0,24.0,0.0,19.0,0
1.0,5.0,3.0,0.0,0.0,8.0,3.0,0.25,4.0,2.0,3.0,1.0,13.0,1.0,0.0,12.0,1.0,3.0,1.0,26.16,9.23,2229.05,0.08,52.0,0.11,123.84,241.48,0.33,2.0,4.0,12.0,0.21,20.0,32.0,13.0,12.0,14.0,0.0,12.0,0
1.0,3.0,5.0,0.0,1.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,12.0,1.0,0.0,9.0,3.0,2.0,1.0,29.06,11.2,3645.43,0.11,67.0,0.09,202.52,325.48,0.5,1.0,2.0,12.0,0.17,24.0,43.0,15.0,14.0,12.0,10.0,9.0,0
3.0,5.0,4.0,0.0,0.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,17.0,1.0,0.0,13.0,2.0,2.0,0.67,23.77,15.54,5735.89,0.12,76.0,0.06,318.66,369.21,0.33,2.0,4.0,16.0,0.18,29.0,47.0,14.0,15.0,17.0,0.0,13.0,0
6.0,6.0,7.0,0.0,1.0,4.0,4.0,0.19,2.0,2.0,4.0,1.0,21.0,1.0,0.0,21.0,0.0,4.0,1.0,46.32,15.11,10577.6,0.23,129.0,0.07,587.64,699.99,0.25,1.0,2.0,19.0,0.14,51.0,78.0,27.0,16.0,29.0,4.55,21.0,0
1.0,3.0,4.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,9.0,1.0,0.0,9.0,1.0,2.0,1.0,16.47,13.0,2782.69,0.07,48.0,0.08,154.59,214.05,0.5,1.0,2.0,9.0,0.18,18.0,30.0,9.0,13.0,11.0,0.0,9.0,0
3.0,5.0,9.0,0.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,22.0,1.0,0.0,21.0,2.0,3.0,1.0,45.77,15.0,10297.93,0.23,129.0,0.07,572.11,686.53,0.33,2.0,4.0,21.0,0.12,50.0,79.0,25.0,15.0,25.0,0.0,21.0,0
9.0,3.0,9.0,0.0,4.0,4.0,2.0,0.1,2.0,2.0,2.0,1.0,22.0,1.0,0.0,21.0,0.0,1.0,0.5,71.77,11.08,8806.58,0.27,155.0,0.09,489.25,795.04,0.5,1.0,2.0,22.0,0.06,64.0,91.0,26.0,9.0,35.0,16.0,21.0,0
15.0,19.0,14.0,1.0,8.0,34.0,10.0,0.15,16.0,2.13,9.0,0.9,70.0,4.0,0.33,64.0,2.0,7.0,0.7,59.77,42.39,107406.67,0.84,412.0,0.02,5967.04,2533.7,0.4,9.0,17.0,62.0,0.11,156.0,256.0,46.0,25.0,89.0,12.33,65.0,0
19.0,18.0,23.0,0.0,1.0,16.0,11.0,0.13,8.0,2.0,9.0,0.82,79.0,7.0,0.6,88.0,2.0,8.0,0.73,151.9,21.7,71508.8,1.1,504.0,0.05,3972.71,3295.74,0.64,4.0,8.0,70.0,0.1,194.0,310.0,76.0,17.0,109.0,1.12,88.0,0
1.0,8.0,5.0,0.0,1.0,8.0,5.0,0.24,4.0,2.0,4.0,0.8,22.0,3.0,0.5,21.0,1.0,4.0,0.8,28.45,10.64,3218.64,0.1,66.0,0.09,178.81,302.61,0.6,2.0,4.0,19.0,0.21,18.0,48.0,11.0,13.0,24.0,4.55,21.0,0
7.0,12.0,8.0,0.0,2.0,4.0,8.0,0.16,2.0,2.0,6.0,0.75,45.0,1.0,0.0,51.0,0.0,6.0,0.75,67.6,24.64,41048.67,0.56,282.0,0.04,2280.48,1665.74,0.13,1.0,2.0,39.0,0.13,115.0,167.0,42.0,18.0,61.0,3.77,51.0,0
1.0,6.0,11.0,0.0,0.0,4.0,4.0,0.2,2.0,2.0,3.0,0.75,25.0,1.0,0.0,20.0,1.0,3.0,0.75,48.84,14.22,9878.21,0.23,128.0,0.07,548.79,694.56,0.25,1.0,2.0,23.0,0.18,48.0,80.0,27.0,16.0,22.0,0.0,20.0,0
21.0,30.0,25.0,1.0,3.0,26.0,18.0,0.16,12.0,2.17,16.0,0.89,115.0,3.0,0.12,112.0,1.0,11.0,0.61,102.5,38.09,148686.82,1.3,597.0,0.03,8260.37,3903.88,0.17,7.0,13.0,99.0,0.13,219.0,378.0,69.0,24.0,138.0,3.45,113.0,1
1.0,3.0,4.0,0.0,0.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,11.0,1.0,0.0,7.0,0.0,2.0,1.0,24.71,5.63,781.73,0.05,34.0,0.18,43.43,138.97,0.5,1.0,2.0,11.0,0.22,10.0,24.0,8.0,9.0,9.0,0.0,7.0,0
2.0,5.0,7.0,0.0,0.0,8.0,3.0,0.2,4.0,2.0,3.0,1.0,18.0,1.0,0.0,15.0,1.0,3.0,1.0,40.99,14.0,8034.06,0.19,111.0,0.07,446.34,573.86,0.33,2.0,4.0,17.0,0.17,44.0,67.0,22.0,14.0,18.0,0.0,15.0,0
5.0,11.0,7.0,0.0,0.0,20.0,6.0,0.27,10.0,2.0,5.0,0.83,32.0,1.0,0.0,22.0,2.0,4.0,0.67,39.49,17.0,11411.18,0.22,127.0,0.06,633.95,671.25,0.17,5.0,10.0,28.0,0.21,44.0,83.0,22.0,17.0,28.0,0.0,22.0,0
13.0,7.0,21.0,0.0,5.0,12.0,4.0,0.11,6.0,2.0,4.0,1.0,55.0,1.0,0.0,37.0,1.0,4.0,1.0,89.21,24.0,51383.14,0.71,347.0,0.04,2854.62,2140.96,0.25,3.0,6.0,53.0,0.07,144.0,203.0,54.0,18.0,56.0,11.9,37.0,0
3.0,11.0,3.0,0.0,0.0,20.0,6.0,0.25,10.0,2.0,2.0,0.33,26.0,1.0,0.0,24.0,1.0,4.0,0.67,31.92,18.79,11268.26,0.2,116.0,0.05,626.01,599.71,0.17,5.0,10.0,22.0,0.21,42.0,74.0,19.0,17.0,28.0,0.0,24.0,0
6.0,27.0,7.0,0.0,0.0,44.0,14.0,0.37,18.0,2.44,14.0,1.0,86.0,9.0,0.62,38.0,2.0,14.0,1.0,41.06,42.15,72932.91,0.58,323.0,0.02,4051.83,1730.49,0.64,13.0,22.0,74.0,0.31,119.0,204.0,24.0,17.0,45.0,0.0,38.0,0
3.0,10.0,7.0,0.0,2.0,12.0,6.0,0.26,6.0,2.0,6.0,1.0,31.0,1.0,0.0,23.0,0.0,6.0,1.0,38.97,10.97,4689.17,0.14,88.0,0.09,260.51,427.5,0.17,3.0,6.0,27.0,0.21,27.0,61.0,16.0,13.0,29.0,8.0,23.0,0
2.0,3.0,5.0,0.0,0.0,4.0,2.0,0.2,2.0,2.0,2.0,1.0,12.0,1.0,0.0,10.0,1.0,1.0,0.5,31.89,8.53,2320.9,0.09,56.0,0.12,128.94,272.05,0.5,1.0,2.0,12.0,0.15,21.0,35.0,16.0,13.0,13.0,0.0,10.0,0
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,7.0,1.0,0.0,6.0,2.0,2.0,1.0,13.38,7.33,719.39,0.03,24.0,0.14,39.97,98.1,0.5,1.0,2.0,7.0,0.29,8.0,16.0,6.0,11.0,7.0,0.0,6.0,0
5.0,13.0,11.0,0.0,0.0,24.0,7.0,0.21,12.0,2.0,6.0,0.86,42.0,5.0,0.67,34.0,2.0,5.0,0.71,42.13,26.79,30243.28,0.38,200.0,0.04,1680.18,1128.77,0.71,6.0,12.0,37.0,0.18,74.0,126.0,29.0,21.0,40.0,0.0,34.0,0
0.0,3.0,7.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,14.0,1.0,0.0,12.0,1.0,1.0,0.5,41.57,8.24,2819.37,0.11,72.0,0.12,156.63,342.35,0.5,1.0,2.0,14.0,0.15,28.0,44.0,17.0,10.0,13.0,0.0,12.0,0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,9.0,1.0,2.0,1.0,17.88,9.33,1557.81,0.06,38.0,0.11,86.54,166.91,0.5,1.0,2.0,8.0,0.2,14.0,24.0,9.0,12.0,10.0,0.0,9.0,0
1.0,8.0,5.0,0.0,0.0,8.0,5.0,0.21,4.0,2.0,4.0,0.8,22.0,1.0,0.0,24.0,1.0,4.0,0.8,43.9,12.52,6882.97,0.18,104.0,0.08,382.39,549.68,0.2,2.0,4.0,19.0,0.19,36.0,68.0,23.0,16.0,26.0,0.0,24.0,0
6.0,9.0,10.0,0.0,2.0,14.0,5.0,0.21,6.0,2.33,5.0,1.0,34.0,4.0,0.75,24.0,1.0,3.0,0.6,47.78,23.7,26838.69,0.38,195.0,0.04,1491.04,1132.43,0.8,4.0,7.0,31.0,0.15,79.0,116.0,35.0,21.0,33.0,7.69,24.0,0
5.0,18.0,18.0,0.0,2.0,20.0,10.0,0.17,10.0,2.0,8.0,0.8,62.0,5.0,0.44,58.0,0.0,9.0,0.9,69.5,23.96,39892.13,0.56,269.0,0.04,2216.23,1665.06,0.5,5.0,10.0,54.0,0.15,92.0,177.0,48.0,25.0,66.0,3.33,58.0,0
8.0,9.0,13.0,0.0,1.0,16.0,5.0,0.11,8.0,2.0,5.0,1.0,68.0,1.0,0.0,44.0,0.0,5.0,1.0,72.83,29.48,63297.51,0.72,348.0,0.03,3516.53,2147.13,0.2,4.0,8.0,65.0,0.09,134.0,214.0,50.0,22.0,54.0,2.22,44.0,0
0.0,3.0,8.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,16.0,1.0,0.0,12.0,0.0,2.0,1.0,33.66,13.22,5883.89,0.15,89.0,0.08,326.88,445.0,0.5,1.0,2.0,16.0,0.15,34.0,55.0,18.0,14.0,13.0,0.0,12.0,0
0.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,0.0,1.0,0.5,19.46,3.5,238.4,0.02,19.0,0.29,13.24,68.11,0.5,1.0,2.0,9.0,0.4,5.0,14.0,5.0,7.0,5.0,0.0,4.0,0
0.0,7.0,3.0,0.0,0.0,6.0,4.0,0.25,2.0,3.0,2.0,0.5,14.0,3.0,0.67,16.0,0.0,3.0,0.75,23.55,8.45,1681.86,0.07,44.0,0.12,93.44,199.04,0.75,2.0,3.0,12.0,0.24,13.0,31.0,10.0,13.0,17.0,0.0,16.0,0
4.0,3.0,6.0,1.0,0.0,4.0,2.0,0.14,2.0,2.0,2.0,1.0,12.0,1.0,0.0,13.0,2.0,2.0,1.0,35.51,12.28,5352.73,0.15,88.0,0.08,297.37,435.97,0.5,1.0,2.0,12.0,0.11,34.0,54.0,18.0,13.0,19.0,7.14,14.0,1
0.0,3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,1.0,1.0,0.5,14.87,8.57,1092.32,0.04,30.0,0.12,60.68,127.44,0.5,1.0,2.0,6.0,0.2,10.0,20.0,7.0,12.0,10.0,0.0,9.0,0
1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,9.0,1.0,0.0,4.0,0.0,2.0,1.0,19.29,6.72,871.59,0.04,30.0,0.15,48.42,129.66,0.5,1.0,2.0,9.0,0.33,11.0,19.0,9.0,11.0,6.0,0.0,4.0,0
14.0,11.0,15.0,0.0,0.0,8.0,7.0,0.12,4.0,2.0,5.0,0.71,44.0,4.0,0.5,58.0,2.0,4.0,0.57,104.52,18.11,34291.94,0.63,311.0,0.06,1905.11,1893.2,0.57,2.0,4.0,39.0,0.1,128.0,183.0,53.0,15.0,73.0,0.0,58.0,0
1.0,7.0,9.0,0.0,0.0,12.0,4.0,0.33,6.0,2.0,4.0,1.0,24.0,1.0,0.0,12.0,3.0,4.0,1.0,44.33,7.33,2383.85,0.11,70.0,0.14,132.44,325.07,0.25,3.0,6.0,22.0,0.29,22.0,48.0,15.0,10.0,14.0,0.0,12.0,0
0.0,7.0,5.0,0.0,0.0,8.0,4.0,0.36,2.0,4.0,3.0,0.75,17.0,4.0,1.0,11.0,1.0,1.0,0.25,18.54,18.0,6006.03,0.11,68.0,0.06,333.67,333.67,1.0,3.0,4.0,15.0,0.33,24.0,44.0,12.0,18.0,12.0,0.0,11.0,0
2.0,12.0,5.0,0.0,1.0,14.0,7.0,0.33,6.0,2.33,6.0,0.86,29.0,3.0,0.33,21.0,0.0,7.0,1.0,28.85,17.34,8678.36,0.17,101.0,0.06,482.13,500.37,0.43,4.0,7.0,24.0,0.28,37.0,64.0,16.0,15.0,25.0,4.55,21.0,0
