f0,f1,f2,f3,f4,f5,target
1.0,1951.0,296.0,1.3,19.8,43.0,1
1.0,1952.0,397.0,2.2,17.2,43.0,1
1.0,1953.0,360.0,2.5,4.3,43.0,1
1.0,1954.0,300.0,1.7,0.7,47.0,1
1.0,1955.0,326.0,1.4,2.0,38.5,1
1.0,1956.0,352.0,1.8,6.3,38.5,1
1.0,1957.0,195.0,2.3,2.5,38.5,1
1.0,1958.0,133.0,2.7,1.3,36.9,1
1.0,1959.0,109.0,2.6,1.8,36.9,1
1.0,1960.0,208.0,2.5,3.8,36.9,1
1.0,1961.0,173.0,2.5,2.5,49.2,1
1.0,1962.0,142.0,2.6,-0.3,49.2,1
1.0,1963.0,158.0,2.1,0.5,41.0,1
1.0,1964.0,243.0,1.6,2.4,41.0,1
1.0,1965.0,211.0,1.5,4.0,41.0,1
1.0,1966.0,183.0,1.7,3.0,33.1,1
1.0,1967.0,168.0,1.9,3.2,33.1,1
1.0,1968.0,249.0,1.8,2.7,33.1,1
1.0,1969.0,439.0,1.8,2.9,47.2,1
1.0,1970.0,515.0,1.6,3.9,47.2,1
1.0,1971.0,645.0,1.9,6.1,47.2,1
1.0,1972.0,416.0,2.6,5.9,53.6,1
1.0,1973.0,527.0,2.3,9.5,53.6,1
1.0,1974.0,1252.0,2.6,15.1,52.0,1
1.0,1975.0,702.0,4.8,15.1,28.3,1
1.0,1976.0,760.0,4.7,13.5,28.3,1
1.0,1977.0,328.0,5.6,12.3,30.7,1
1.0,1978.0,421.0,6.4,7.9,30.7,1
1.0,1979.0,778.0,6.1,9.1,30.7,1
1.0,1980.0,633.0,6.0,10.1,40.8,1
1.0,1981.0,779.0,5.7,9.7,40.8,1
1.0,1982.0,370.0,7.0,11.2,40.8,1
1.0,1983.0,313.0,9.8,10.1,60.0,1
1.0,1984.0,241.0,8.9,4.0,55.4,1
1.0,1985.0,226.0,8.2,6.7,55.4,1
2.0,1951.0,43.0,3.5,27.5,43.6,0
2.0,1952.0,39.0,4.7,13.6,43.6,0
2.0,1953.0,20.0,5.8,-1.6,46.7,0
2.0,1954.0,26.0,4.9,4.0,46.7,0
2.0,1955.0,28.0,3.6,0.0,46.7,0
2.0,1956.0,72.0,3.5,3.9,46.7,0
2.0,1957.0,21.0,3.3,2.8,46.7,0
2.0,1958.0,22.0,3.6,2.0,46.7,0
2.0,1959.0,23.0,3.3,1.1,47.3,0
2.0,1960.0,30.0,2.5,2.0,47.3,0
2.0,1961.0,49.0,2.0,3.5,47.3,0
2.0,1962.0,277.0,1.9,4.4,46.1,0
2.0,1963.0,15.0,2.1,2.7,46.1,0
2.0,1964.0,15.0,1.9,3.9,46.1,0
2.0,1965.0,64.0,1.9,4.9,46.1,0
2.0,1966.0,30.0,1.8,2.2,47.9,0
2.0,1967.0,7.0,1.8,4.0,47.9,0
2.0,1968.0,3.0,2.0,2.8,47.9,0
2.0,1969.0,8.0,1.8,3.1,47.9,0
2.0,1970.0,11.0,1.5,4.4,49.1,0
2.0,1971.0,2.0,1.2,4.7,49.1,0
2.0,1972.0,6.0,1.1,6.4,50.8,0
2.0,1973.0,61.0,1.0,7.5,50.8,0
2.0,1974.0,3.0,1.1,9.5,50.8,0
2.0,1975.0,2.0,1.7,8.5,50.8,0
2.0,1976.0,0.0,1.7,7.3,50.8,0
2.0,1977.0,0.0,1.6,5.5,50.8,0
2.0,1978.0,4.0,1.8,3.6,50.8,0
2.0,1979.0,0.0,1.7,3.7,51.9,0
2.0,1980.0,6.0,1.6,6.3,51.9,0
2.0,1981.0,1.0,2.1,6.8,51.9,0
2.0,1982.0,0.0,3.1,5.4,51.9,0
2.0,1983.0,0.0,3.8,3.3,49.2,0
2.0,1984.0,0.0,3.9,5.7,49.2,0
2.0,1985.0,8.0,4.1,3.2,49.2,0
3.0,1951.0,242.0,4.5,9.6,39.6,0
3.0,1952.0,356.0,5.2,0.9,39.6,0
3.0,1953.0,170.0,5.5,-0.3,39.6,0
3.0,1954.0,182.0,5.2,1.3,42.5,0
3.0,1955.0,403.0,4.0,-0.5,42.5,0
3.0,1956.0,372.0,2.9,2.8,42.5,0
3.0,1957.0,1453.0,2.4,3.2,42.5,0
3.0,1958.0,114.0,3.4,1.3,40.6,0
3.0,1959.0,383.0,4.1,1.2,40.6,0
3.0,1960.0,129.0,3.4,0.3,40.6,0
3.0,1961.0,35.0,2.7,1.0,42.0,0
3.0,1962.0,100.0,2.1,1.4,42.0,0
3.0,1963.0,90.0,1.7,2.2,42.0,0
3.0,1964.0,157.0,1.5,4.2,42.0,0
3.0,1965.0,25.0,1.7,4.1,33.0,0
3.0,1966.0,189.0,1.8,4.2,33.0,0
3.0,1967.0,64.0,2.5,2.9,33.0,0
3.0,1968.0,129.0,2.9,2.7,30.2,0
3.0,1969.0,56.0,2.3,3.8,30.2,0
3.0,1970.0,483.0,1.9,3.9,30.2,0
3.0,1971.0,410.0,1.8,4.3,30.2,0
3.0,1972.0,117.0,2.3,5.5,31.1,0
3.0,1973.0,282.0,2.3,7.0,31.1,0
3.0,1974.0,184.0,2.4,12.7,29.7,0
3.0,1975.0,196.0,4.4,12.8,29.7,0
3.0,1976.0,291.0,5.8,9.2,29.7,0
3.0,1977.0,216.0,6.6,7.1,30.2,0
3.0,1978.0,325.0,7.1,4.5,30.2,0
3.0,1979.0,197.0,7.3,4.5,29.3,0
3.0,1980.0,69.0,7.7,6.7,29.3,0
4.0,1951.0,242.0,2.4,10.4,78.7,1
4.0,1952.0,5918.0,2.9,2.5,78.7,1
4.0,1953.0,335.0,2.9,-0.9,73.5,1
4.0,1954.0,372.0,4.5,0.6,73.5,1
4.0,1955.0,454.0,4.3,0.2,73.5,1
4.0,1956.0,284.0,3.3,1.4,73.5,1
4.0,1957.0,325.0,4.5,3.2,49.0,1
4.0,1958.0,618.0,6.9,2.6,21.5,1
4.0,1959.0,470.0,5.9,1.1,21.5,1
4.0,1960.0,153.0,6.9,1.3,21.5,1
4.0,1961.0,28.0,7.1,0.9,21.5,1
4.0,1962.0,279.0,5.4,1.2,44.9,1
4.0,1963.0,175.0,5.1,1.8,55.1,1
4.0,1964.0,289.0,4.3,1.8,55.1,1
4.0,1965.0,408.0,3.6,2.5,57.3,1
4.0,1966.0,849.0,3.3,3.7,57.3,1
4.0,1967.0,612.0,3.8,3.6,57.3,1
4.0,1968.0,762.0,4.4,4.1,67.0,1
4.0,1969.0,1125.0,4.4,4.5,67.0,1
4.0,1970.0,934.0,5.6,3.4,67.0,1
4.0,1971.0,399.0,6.1,2.8,67.0,1
4.0,1972.0,1041.0,6.2,4.8,53.0,1
4.0,1973.0,732.0,5.5,7.6,53.0,1
4.0,1974.0,1121.0,5.3,10.9,59.0,1
4.0,1975.0,1303.0,6.9,10.8,59.0,1
4.0,1976.0,1359.0,7.1,7.5,59.0,1
4.0,1977.0,381.0,8.0,8.0,59.0,1
4.0,1978.0,826.0,8.3,8.9,59.0,1
4.0,1979.0,841.0,7.4,9.1,49.6,1
4.0,1980.0,930.0,7.4,10.2,63.4,1
4.0,1981.0,894.0,7.5,12.5,63.4,1
4.0,1982.0,605.0,10.9,10.8,63.4,1
4.0,1983.0,462.0,11.8,5.8,63.4,1
4.0,1984.0,393.0,11.2,4.3,24.8,1
4.0,1985.0,315.0,10.4,4.0,24.8,1
5.0,1951.0,3.0,9.7,10.5,44.6,0
5.0,1952.0,3.0,12.5,3.8,44.6,0
5.0,1953.0,2.0,9.2,0.9,45.6,0
5.0,1954.0,17.0,9.0,0.0,46.9,0
5.0,1955.0,7.0,9.7,5.5,46.9,0
5.0,1956.0,789.0,11.1,6.0,46.9,0
5.0,1957.0,5.0,9.9,2.7,43.4,0
5.0,1958.0,6.0,9.2,0.7,43.4,0
5.0,1959.0,12.0,5.9,1.7,43.4,0
5.0,1960.0,41.0,4.2,1.3,43.4,0
5.0,1961.0,1486.0,3.3,3.5,49.7,0
5.0,1962.0,9.0,1.8,7.4,49.7,0
5.0,1963.0,15.0,2.0,6.1,49.7,0
5.0,1964.0,11.0,1.4,3.1,49.7,0
5.0,1965.0,143.0,1.2,5.5,49.1,0
5.0,1966.0,9.0,1.4,7.1,50.9,0
5.0,1967.0,6.0,1.2,8.2,50.9,0
5.0,1968.0,19.0,1.2,8.0,44.0,0
5.0,1969.0,31.0,1.1,3.5,44.0,0
5.0,1970.0,56.0,0.7,6.5,44.0,0
5.0,1971.0,11.0,1.1,5.9,44.0,0
5.0,1972.0,11.0,0.9,6.6,49.7,0
5.0,1973.0,2001.0,0.9,9.3,49.7,0
5.0,1974.0,94.0,3.5,15.3,36.0,0
5.0,1975.0,52.0,4.9,9.6,41.7,0
5.0,1976.0,107.0,6.3,9.0,41.7,0
5.0,1977.0,115.0,7.3,11.1,48.0,0
5.0,1978.0,64.0,8.3,10.0,48.0,0
5.0,1979.0,84.0,6.0,9.6,48.0,0
5.0,1980.0,90.0,6.5,12.3,48.6,0
5.0,1981.0,319.0,10.3,11.7,48.6,0
5.0,1982.0,45.0,11.0,10.1,48.0,0
5.0,1983.0,38.0,11.4,6.9,48.0,0
5.0,1984.0,62.0,8.5,6.3,46.9,0
5.0,1985.0,1056.0,7.3,4.7,46.9,0
6.0,1951.0,288.0,0.1,16.3,26.5,0
6.0,1952.0,47.0,0.1,1.0,26.5,0
6.0,1953.0,54.0,0.3,2.0,26.5,0
6.0,1954.0,96.0,0.1,0.0,27.0,0
6.0,1955.0,281.0,0.1,-2.9,27.0,0
6.0,1956.0,5568.0,0.1,11.0,27.0,0
6.0,1957.0,174.0,0.3,11.3,27.0,0
6.0,1958.0,35.0,0.4,6.6,27.0,0
6.0,1959.0,323.0,2.3,1.5,25.5,0
6.0,1960.0,71.0,1.5,3.2,25.5,0
6.0,1961.0,30.0,1.2,1.8,25.5,0
6.0,1962.0,23.0,1.3,4.5,20.0,0
6.0,1963.0,961.0,1.5,4.9,20.0,0
6.0,1964.0,39.0,1.5,10.4,20.0,0
6.0,1965.0,11.0,1.4,4.8,20.0,0
6.0,1966.0,80.0,1.5,3.9,31.0,0
6.0,1967.0,211.0,2.9,5.6,31.0,0
6.0,1968.0,186.0,3.8,9.2,31.0,0
6.0,1969.0,104.0,2.8,2.2,31.0,0
6.0,1970.0,100.0,1.9,2.7,26.0,0
6.0,1971.0,143.0,2.2,6.5,26.0,0
6.0,1972.0,1632.0,2.5,7.1,27.5,0
6.0,1973.0,272.0,2.3,11.0,27.5,0
6.0,1974.0,239.0,1.7,16.7,27.5,0
6.0,1975.0,155.0,2.2,17.8,27.5,0
6.0,1976.0,684.0,3.8,14.4,27.0,0
6.0,1977.0,1310.0,5.8,12.7,27.0,0
6.0,1978.0,73.0,7.2,7.8,27.0,0
6.0,1979.0,131.0,5.9,7.5,26.0,0
6.0,1980.0,836.0,4.6,11.6,26.0,0
6.0,1981.0,337.0,5.1,12.0,26.0,0
6.0,1982.0,105.0,5.8,9.6,26.0,0
6.0,1983.0,361.0,6.1,8.4,28.5,0
6.0,1984.0,754.0,4.9,7.1,28.5,0
6.0,1985.0,84.0,4.8,5.9,28.5,0
7.0,1951.0,299.0,0.6,17.7,49.3,1
7.0,1952.0,146.0,0.7,12.0,49.3,1
7.0,1953.0,807.0,0.9,-1.9,49.3,1
7.0,1954.0,119.0,1.6,0.4,49.3,1
7.0,1955.0,251.0,1.5,1.0,49.3,1
7.0,1956.0,114.0,1.1,4.3,56.6,1
7.0,1957.0,324.0,0.8,-0.8,56.6,1
7.0,1958.0,88.0,0.9,15.3,56.6,1
7.0,1959.0,151.0,1.3,5.7,16.6,1
7.0,1960.0,82.0,1.2,4.2,16.6,1
7.0,1961.0,198.0,1.1,2.4,16.6,1
7.0,1962.0,142.0,1.1,5.2,16.6,1
7.0,1963.0,434.0,1.2,5.1,32.4,1
7.0,1964.0,176.0,0.9,3.2,32.4,1
7.0,1965.0,69.0,1.2,2.7,32.4,1
7.0,1966.0,174.0,1.2,2.6,32.4,1
7.0,1967.0,282.0,1.6,2.8,41.0,1
7.0,1968.0,7000.0,2.6,4.6,19.1,1
7.0,1969.0,143.0,2.3,6.1,19.1,1
7.0,1970.0,109.0,2.4,5.9,19.1,1
7.0,1971.0,271.0,2.6,5.5,19.1,1
7.0,1972.0,228.0,2.7,6.2,19.1,1
7.0,1973.0,232.0,2.6,7.3,36.9,1
7.0,1974.0,197.0,2.8,13.7,36.9,1
7.0,1975.0,227.0,4.1,11.8,36.9,1
7.0,1976.0,235.0,4.4,9.6,36.9,1
7.0,1977.0,139.0,4.9,9.4,36.9,1
7.0,1978.0,118.0,5.2,9.1,41.7,1
7.0,1979.0,179.0,5.9,10.8,41.7,1
7.0,1980.0,86.0,6.3,13.3,41.7,1
7.0,1981.0,82.0,7.4,13.4,68.4,1
7.0,1982.0,127.0,8.1,11.8,68.4,1
7.0,1983.0,74.0,8.3,9.6,68.4,1
7.0,1984.0,75.0,9.7,7.4,68.4,1
7.0,1985.0,41.0,10.2,5.8,68.4,1
8.0,1951.0,112.0,6.4,7.7,36.3,1
8.0,1952.0,29.0,6.1,2.1,36.3,1
8.0,1953.0,95.0,5.5,-1.9,36.3,1
8.0,1954.0,98.0,5.2,0.2,31.0,1
8.0,1955.0,50.0,3.9,1.7,31.0,1
8.0,1956.0,89.0,3.1,2.6,31.0,1
8.0,1957.0,59.0,2.7,2.1,31.0,1
8.0,1958.0,43.0,2.7,2.1,34.0,1
8.0,1959.0,3.0,1.9,1.0,34.0,1
8.0,1960.0,2.0,0.9,1.5,34.0,1
8.0,1961.0,3.0,0.6,2.3,34.0,1
8.0,1962.0,22.0,0.6,2.9,38.1,1
8.0,1963.0,88.0,0.7,3.0,38.1,1
8.0,1964.0,1.0,0.6,2.4,38.1,1
8.0,1965.0,2.0,0.5,3.2,38.1,1
8.0,1966.0,1.0,0.6,3.6,40.7,1
8.0,1967.0,19.0,1.7,1.6,40.7,1
8.0,1968.0,1.0,1.2,1.6,40.7,1
8.0,1969.0,12.0,0.7,1.9,40.7,1
8.0,1970.0,4.0,0.6,3.4,45.2,1
8.0,1971.0,203.0,0.7,5.2,45.2,1
8.0,1972.0,3.0,0.9,5.5,45.2,1
8.0,1973.0,25.0,1.0,7.0,46.4,1
8.0,1974.0,48.0,2.1,7.0,46.4,1
8.0,1975.0,3.0,4.0,5.9,46.4,1
8.0,1976.0,25.0,4.0,4.3,46.4,1
8.0,1977.0,1.0,3.9,3.7,43.2,1
8.0,1978.0,197.0,3.7,2.7,43.2,1
8.0,1979.0,22.0,3.3,4.1,43.2,1
8.0,1980.0,6.0,3.3,5.4,43.2,1
8.0,1981.0,3.0,4.6,6.3,43.9,1
8.0,1982.0,1.0,6.7,5.3,43.9,1
8.0,1983.0,2.0,8.2,3.3,38.8,1
8.0,1984.0,260.0,8.2,2.4,38.8,1
8.0,1985.0,2.0,8.3,2.2,38.8,1
9.0,1951.0,773.0,7.3,7.9,10.88,0
9.0,1952.0,752.0,9.1,9.2,10.88,0
9.0,1953.0,117.0,9.6,5.0,10.88,0
9.0,1954.0,95.0,8.1,0.0,12.92,0
9.0,1955.0,336.0,6.8,2.6,12.92,0
9.0,1956.0,70.0,7.7,4.3,12.92,0
9.0,1957.0,135.0,9.2,4.1,8.16,0
9.0,1958.0,187.0,8.6,4.5,8.16,0
9.0,1959.0,181.0,8.0,0.0,8.16,0
9.0,1960.0,115.0,6.7,0.4,8.16,0
9.0,1961.0,589.0,5.7,2.7,11.11,0
9.0,1962.0,160.0,5.7,4.2,11.11,0
9.0,1963.0,354.0,6.1,2.5,11.11,0
9.0,1964.0,794.0,4.7,6.7,11.11,0
9.0,1965.0,796.0,4.6,5.0,15.27,0
9.0,1966.0,1129.0,4.7,3.1,15.27,0
9.0,1967.0,262.0,5.0,3.2,15.27,0
9.0,1968.0,574.0,5.3,4.7,15.27,0
9.0,1969.0,1304.0,5.0,7.4,12.5,0
9.0,1970.0,1405.0,5.8,8.2,12.5,0
9.0,1971.0,379.0,5.5,9.0,12.5,0
9.0,1972.0,284.0,6.2,8.7,12.5,0
9.0,1973.0,277.0,5.7,11.4,13.19,0
9.0,1974.0,720.0,5.3,17.0,13.19,0
9.0,1975.0,390.0,7.3,20.9,13.19,0
9.0,1976.0,1032.0,9.0,18.0,13.19,0
9.0,1977.0,571.0,8.8,13.6,11.48,0
9.0,1978.0,765.0,8.2,7.6,11.48,0
9.0,1979.0,1752.0,7.1,13.2,11.48,0
9.0,1980.0,480.0,7.3,18.2,11.48,0
9.0,1981.0,503.0,9.9,20.4,9.04,0
9.0,1982.0,504.0,11.4,17.1,9.04,0
9.0,1983.0,382.0,14.0,10.5,9.64,0
9.0,1984.0,472.0,15.6,8.6,9.64,0
9.0,1985.0,521.0,17.0,5.4,9.64,0
10.0,1951.0,437.0,8.8,14.3,37.5,1
10.0,1952.0,337.0,9.5,1.9,37.5,1
10.0,1953.0,545.0,10.0,1.4,40.2,1
10.0,1954.0,493.0,8.7,2.4,40.2,1
10.0,1955.0,511.0,7.5,2.3,40.2,1
